v07判定,v07スコア,判定元,戦略,戦略タイプ,利確pips,損切りpips,時間帯,曜日,トレンド環境,ボラ環境,PF,学習PF,PF乖離,総損益pips,期待値pips/回,勝率%,取引回数,平均利益pips,平均損失pips,最大DD_pips,最大連敗,旧スコア
本命候補,82.6,採用候補,"MACDクロス(12,21,12)",MACDクロス,20,20,東京(9-15時),全曜日,下降のみ,ATR高,1.405,1.072,1.310634328358209,534.0,3.3375,58.8,160,19.72,-20.0,-120.0,5,70.1
本命候補,82.0,採用候補,"BBブレイク(期間20, 2.5σ)",BBブレイク,25,20,全時間,木,下降のみ,なし,1.545,1.272,1.2146226415094339,514.7,4.722018348623854,54.1,109,24.72,-18.87,-80.0,4,72.3
準候補,80.8,採用候補,"BBブレイク(期間14, 1.5σ)",BBブレイク,30,30,東京(9-15時),全曜日,下降のみ,なし,1.271,1.125,1.1297777777777778,1147.5,3.425373134328358,55.2,335,29.13,-28.28,-240.0,5,66.5
本命候補,79.8,採用候補,"BBブレイク(期間30, 1.5σ)",BBブレイク,25,30,全時間,木,順方向のみ,ATR高,1.311,1.182,1.1091370558375635,492.8,3.571014492753623,60.1,138,25.0,-28.77,-160.0,3,69.1
本命候補,79.5,採用候補,"MACDクロス(12,21,12)",MACDクロス,30,20,東京(9-15時),火,なし,なし,1.334,1.224,1.0898692810457518,553.5,3.5031645569620253,46.8,158,29.86,-19.71,-140.0,5,67.6
準候補,77.5,採用候補,"MACDクロス(16,26,9)",MACDクロス,30,12,東京(9-15時),全曜日,なし,ATR低,1.316,1.099,1.1974522292993632,655.2,2.4000000000000004,35.9,273,27.82,-11.83,-162.0,13,66.0
本命候補,77.5,採用候補,"MACDクロス(16,21,6)",MACDクロス,25,30,東京(9-15時),火,なし,なし,1.309,1.088,1.2031249999999998,515.5,3.483108108108108,59.5,148,24.82,-27.81,-206.1,5,67.2
準候補,75.6,採用候補,"MACDクロス(16,26,9)",MACDクロス,12,5,全時間,月,なし,ATR低,1.537,1.051,1.4624167459562323,319.7,1.6311224489795917,39.3,196,11.88,-5.0,-71.0,8,72.3
準候補,74.4,採用候補,"BBブレイク(期間20, 1.5σ)",BBブレイク,25,30,全時間,木,順方向のみ,ATR高,1.267,1.183,1.0710059171597632,486.6,3.060377358490566,59.1,159,24.57,-28.05,-189.2,4,66.9
準候補,73.2,採用候補,"MACDクロス(12,26,12)",MACDクロス,20,30,東京(9-15時),全曜日,下降のみ,ATR高,1.262,1.11,1.1369369369369369,389.2,2.6841379310344826,65.5,145,19.73,-29.71,-190.0,3,68.6
本命候補,73.1,採用候補,"BBブレイク(期間30, 2.0σ)",BBブレイク,10,12,東京(9-15時),月,なし,直近30分変動大,1.338,1.118,1.1967799642218246,268.0,1.558139534883721,61.6,172,10.0,-12.0,-88.0,4,71.0
準候補,71.6,採用候補,"MACDクロス(8,26,6)",MACDクロス,30,30,全時間,木,下降のみ,直近30分変動大,1.292,1.108,1.1660649819494584,437.6,3.677310924369748,56.3,119,28.93,-28.87,-327.7,5,65.7
本命候補,70.9,採用候補,"BB逆張り(期間30, 1.5σ)",BB逆張り,4,30,東京(9-15時),全曜日,レンジのみ,直近30分変動大,1.556,1.059,1.469310670443815,200.0,1.3157894736842106,92.1,152,4.0,-30.0,-66.0,1,79.0
本命候補,69.8,採用候補,"BB逆張り(期間14, 1.5σ)",BB逆張り,4,30,9時台,全曜日,レンジのみ,なし,1.471,1.076,1.3671003717472119,215.2,1.1695652173913043,91.3,184,4.0,-28.55,-98.0,2,74.9
準候補,69.1,採用候補,"BB逆張り(期間14, 2.0σ)",BB逆張り,15,30,9時台,全曜日,レンジのみ,なし,1.297,1.102,1.1769509981851178,286.2,2.425423728813559,71.2,118,14.88,-28.34,-165.0,5,67.1
準候補,66.5,採用候補,"BBブレイク(期間14, 1.5σ)",BBブレイク,30,15,全時間,木,順方向のみ,ATR高,1.227,1.091,1.1246562786434464,379.1,2.060326086956522,38.0,184,29.25,-14.64,-135.0,6,66.5
準候補,65.9,採用候補,"BBブレイク(期間14, 2.5σ)",BBブレイク,20,30,全時間,木,順方向のみ,直近30分変動大,1.223,1.143,1.0699912510936134,320.5,2.257042253521127,63.4,142,19.56,-27.68,-152.4,4,66.9
準候補,65.9,採用候補,"BBブレイク(期間30, 1.5σ)",BBブレイク,20,30,全時間,木,下降のみ,ATR高,1.241,1.222,1.0155482815057284,306.8,2.494308943089431,64.2,123,20.0,-28.94,-173.1,4,65.9
準候補,64.2,採用候補,"EMAクロス(15,75)",EMAクロス,15,15,全時間,木,なし,直近30分変動大,1.224,1.073,1.140726933830382,292.2,1.4984615384615385,54.9,195,14.91,-14.81,-105.0,5,68.0
準候補,62.7,採用候補,"BB逆張り(期間30, 2.5σ)",BB逆張り,20,5,全時間,木,上昇のみ,なし,1.368,1.069,1.2797006548175867,259.7,1.3526041666666666,26.6,192,18.92,-5.0,-80.0,15,69.1
本命候補,62.6,採用候補,"BBブレイク(期間20, 2.0σ)",BBブレイク,6,5,東京(9-15時),全曜日,順方向のみ,ATR低,1.427,1.098,1.2996357012750455,203.0,0.9759615384615384,54.3,208,6.0,-5.0,-29.0,4,77.1
準候補,61.5,採用候補,"BB逆張り(期間20, 2.0σ)",BB逆張り,30,15,全時間,木,順方向のみ,なし,1.2,1.058,1.1342155009451795,369.3,1.8192118226600986,37.9,203,28.74,-14.63,-204.7,8,64.4
準候補,60.8,採用候補,"BBブレイク(期間20, 1.5σ)",BBブレイク,20,15,東京(9-15時),全曜日,下降のみ,直近30分変動大,1.179,1.139,1.035118525021949,529.0,1.4220430107526882,47.0,372,19.91,-15.0,-115.0,7,65.5
準候補,59.6,採用候補,"RSI逆張り(期間10, 20/60)",RSI逆張り,25,10,9時台,全曜日,上昇のみ,なし,1.277,1.054,1.2115749525616697,235.2,1.8232558139534882,34.1,129,24.66,-10.0,-100.0,10,67.1
準候補,58.5,採用候補,"BBブレイク(期間25, 2.0σ)",BBブレイク,10,10,東京(9-15時),全曜日,順方向のみ,ATR低,1.261,1.158,1.0889464594127807,207.1,1.1505555555555556,55.6,180,10.0,-9.91,-60.0,4,71.1
準候補,58.1,採用候補,"EMAクロス(10,100)",EMAクロス,20,8,全時間,全曜日,下降のみ,なし,1.297,1.081,1.1998149861239593,216.6,1.5146853146853148,34.3,143,19.32,-7.77,-113.9,13,66.4
準候補,57.2,採用候補,"EMAクロス(5,30)",EMAクロス,30,8,全時間,金,下降のみ,直近30分変動大,1.292,1.119,1.1546023235031277,269.4,1.7269230769230768,25.6,156,29.79,-7.95,-198.6,14,64.6
準候補,56.7,採用候補,"BBブレイク(期間20, 2.0σ)",BBブレイク,10,15,ロンドン(16-21時),全曜日,上昇のみ,ATR高,1.287,1.091,1.1796516956920255,177.5,1.443089430894309,65.0,123,9.94,-14.36,-145.0,5,67.2
準候補,55.8,採用候補,"BB逆張り(期間25, 2.0σ)",BB逆張り,30,10,ロンドン(16-21時),全曜日,順方向のみ,なし,1.216,1.083,1.1228070175438596,300.3,1.4507246376811596,31.4,207,25.98,-9.78,-180.0,10,64.4
準候補,55.2,採用候補,"EMAクロス(10,50)",EMAクロス,25,20,東京(9-15時),全曜日,レンジのみ,なし,1.175,1.119,1.0500446827524577,332.5,1.7317708333333333,49.0,192,23.71,-19.34,-203.6,6,64.0
準候補,55.0,採用候補,"BB逆張り(期間20, 2.5σ)",BB逆張り,25,30,全時間,火,なし,直近30分変動大,1.151,1.129,1.0194862710363153,472.4,1.7893939393939393,58.3,264,23.33,-28.37,-382.6,7,62.3
準候補,55.0,採用候補,"RSI逆張り(期間14, 35/65)",RSI逆張り,5,25,全時間,全曜日,順方向のみ,なし,1.219,1.132,1.0768551236749118,265.7,0.7679190751445086,85.8,346,4.99,-24.82,-143.3,3,68.8
準候補,54.5,採用候補,"MACDクロス(12,21,12)",MACDクロス,12,25,東京(9-15時),全曜日,下降のみ,ATR高,1.191,1.09,1.0926605504587155,220.0,1.3664596273291925,71.4,161,11.91,-25.0,-177.0,3,67.3
準候補,53.6,採用候補,"BB逆張り(期間25, 2.0σ)",BB逆張り,12,30,全時間,火,なし,ATR高,1.169,1.098,1.064663023679417,304.4,1.2736401673640168,73.6,239,11.94,-28.51,-237.6,4,65.4
準候補,52.9,採用候補,"BBブレイク(期間30, 2.0σ)",BBブレイク,5,20,ロンドン(16-21時),全曜日,順方向のみ,ATR高,1.261,1.112,1.1339928057553954,153.1,0.8601123595505618,83.1,178,5.0,-19.56,-85.0,3,70.9
準候補,52.4,採用候補,"BB逆張り(期間20, 2.5σ)",BB逆張り,30,25,全時間,火,上昇のみ,なし,1.195,1.098,1.0883424408014573,279.6,2.2368,50.4,125,27.14,-23.07,-347.1,10,62.1
準候補,51.4,採用候補,押し目(EMA200+RSI45/65),押し目,30,12,9時台,全曜日,レンジのみ,なし,1.238,1.173,1.0554134697357203,203.2,1.8990654205607476,33.6,107,29.31,-12.0,-120.0,10,64.4
準候補,51.2,採用候補,"MACDクロス(8,35,9)",MACDクロス,10,20,東京(9-15時),全曜日,下降のみ,ATR高,1.195,1.122,1.0650623885918002,214.4,1.146524064171123,70.6,187,9.96,-20.0,-190.0,3,67.0
準候補,51.1,採用候補,"BBブレイク(期間20, 2.0σ)",BBブレイク,12,12,東京(9-15時),全曜日,順方向のみ,なし,1.175,1.057,1.1116367076631979,565.2,0.964505119453925,53.9,586,12.0,-11.95,-154.8,8,65.1
準候補,50.7,採用候補,"BBブレイク(期間14, 1.5σ)",BBブレイク,25,12,全時間,月,下降のみ,直近30分変動大,1.178,1.093,1.0777676120768527,342.0,1.3411764705882352,36.9,255,24.09,-11.94,-187.2,11,63.4
準候補,50.7,採用候補,"BBブレイク(期間20, 2.0σ)",BBブレイク,20,8,ロンドン(16-21時),金,なし,なし,1.225,1.066,1.1491557223264541,223.1,1.1994623655913978,33.3,186,19.6,-8.0,-104.0,9,66.4
準候補,48.0,採用候補,"RSI逆張り(期間10, 25/70)",RSI逆張り,25,5,ロンドン(16-21時),金,なし,なし,1.342,1.182,1.1353637901861253,171.0,1.3255813953488371,22.5,129,23.14,-5.0,-145.2,16,65.1
準候補,47.9,採用候補,"BB逆張り(期間14, 2.0σ)",BB逆張り,4,30,全時間,金,順方向のみ,直近30分変動大,1.251,1.138,1.0992970123022847,125.2,0.7195402298850575,89.7,174,4.0,-27.71,-92.0,1,73.3
準候補,47.6,採用候補,"BB逆張り(期間25, 2.0σ)",BB逆張り,15,25,全時間,火,レンジのみ,直近30分変動大,1.16,1.177,0.9855564995751911,223.2,1.344578313253012,66.3,166,14.68,-24.86,-136.8,4,65.3
準候補,47.5,採用候補,"RSI逆張り(期間10, 30/70)",RSI逆張り,8,15,ロンドン(16-21時),金,なし,なし,1.225,1.078,1.1363636363636365,152.6,1.0173333333333332,69.3,150,8.0,-14.77,-87.0,4,69.1
準候補,47.1,採用候補,"BBブレイク(期間20, 2.5σ)",BBブレイク,30,8,ロンドン(16-21時),全曜日,なし,ATR高,1.239,1.059,1.169971671388102,192.1,1.422962962962963,25.2,135,29.29,-7.96,-100.0,11,66.2
準候補,46.5,採用候補,"MACDクロス(8,26,6)",MACDクロス,8,15,全時間,金,レンジのみ,ATR高,1.252,1.067,1.1733833177132147,121.1,1.1110091743119266,69.7,109,7.92,-14.58,-67.0,4,70.2
準候補,45.0,採用候補,"BBブレイク(期間20, 2.0σ)",BBブレイク,15,15,東京(9-15時),全曜日,順方向のみ,直近30分変動大,1.154,1.069,1.079513564078578,462.8,1.0712962962962964,53.5,432,15.0,-14.94,-182.2,6,64.8
準候補,44.9,採用候補,"MACDクロス(16,35,6)",MACDクロス,15,15,東京(9-15時),全曜日,順方向のみ,ATR低,1.187,1.077,1.1021355617455897,177.4,1.2671428571428571,54.3,140,14.82,-14.82,-90.0,4,68.2
準候補,43.4,採用候補,"BBブレイク(期間14, 1.5σ)",BBブレイク,25,8,東京(9-15時),全曜日,順方向のみ,ATR低,1.193,1.199,0.9949958298582152,238.6,1.1046296296296296,27.8,216,24.56,-7.92,-159.0,12,62.6
