datetime_utc,reason
2022-08-10 12:30:00+00:00,前足比 1.25% の急変動（閾値1.0%）
2022-09-13 12:30:00+00:00,前足比 1.25% の急変動（閾値1.0%）
2022-09-22 08:00:00+00:00,前足比 1.03% の急変動（閾値1.0%）
2022-10-23 23:35:00+00:00,前足比 2.17% の急変動（閾値1.0%）
2022-10-23 23:45:00+00:00,前足比 1.13% の急変動（閾値1.0%）
2022-11-10 13:30:00+00:00,前足比 1.18% の急変動（閾値1.0%）
2022-12-02 13:30:00+00:00,前足比 1.19% の急変動（閾値1.0%）
2022-12-20 03:00:00+00:00,前足比 1.72% の急変動（閾値1.0%）
2023-01-18 02:40:00+00:00,前足比 1.30% の急変動（閾値1.0%）
2024-04-29 04:05:00+00:00,前足比 1.12% の急変動（閾値1.0%）
2024-07-11 12:40:00+00:00,前足比 1.38% の急変動（閾値1.0%）
2024-08-02 12:30:00+00:00,前足比 1.18% の急変動（閾値1.0%）
2024-09-27 06:20:00+00:00,前足比 1.35% の急変動（閾値1.0%）
2024-10-04 12:30:00+00:00,前足比 1.21% の急変動（閾値1.0%）
2025-04-06 21:00:00+00:00,前足比 1.04% の急変動（閾値1.0%）
2025-10-05 21:00:00+00:00,前足比 1.37% の急変動（閾値1.0%）
2026-01-23 07:40:00+00:00,前足比 1.03% の急変動（閾値1.0%）
