戦略,利確pips,損切りpips,時間帯,曜日,ボラ条件,トレンド条件,学習_取引回数,学習_1日平均回数,学習_勝率%,学習_総損益pips,学習_平均利益pips,学習_平均損失pips,学習_PF,学習_最大DD_pips,学習_最大連敗,検証_取引回数,検証_1日平均回数,検証_勝率%,検証_総損益pips,検証_平均利益pips,検証_平均損失pips,検証_PF,検証_最大DD_pips,検証_最大連敗,乖離率(検証PF/学習PF),総合スコア,判定
"EMAクロス(10,50)",5,10,16時台,全曜日,なし,なし,355,1.1,68.2,87.2,4.99,-9.92,1.078,-101.0,5,135,1.1,70.4,75.0,5.0,-10.0,1.188,-40.0,3,1.102,82.1,採用候補
"MACDクロス(12,26,9)",8,5,10時台,全曜日,なし,レンジのみ,318,1.3,40.3,74.0,8.0,-5.0,1.078,-99.0,7,116,1.2,43.1,70.0,8.0,-5.0,1.212,-49.0,5,1.124,78.9,採用候補
"EMAクロス(10,50)",20,5,東京(9-15時),全曜日,なし,レンジのみ,703,1.6,22.8,468.4,19.9,-5.0,1.173,-170.0,15,247,1.5,25.1,306.2,19.86,-5.0,1.331,-75.0,14,1.135,78.2,採用候補
"MACDクロス(12,26,9)",10,10,16時台,全曜日,なし,トレンド順方向のみ,302,1.1,51.7,100.0,10.0,-10.0,1.068,-160.0,7,103,1.0,56.3,130.0,10.0,-10.0,1.289,-70.0,7,1.207,78.1,採用候補
"EMAクロス(10,50)",10,15,東京(9-15時),全曜日,なし,下降トレンドのみ,450,1.3,61.3,192.2,9.97,-14.71,1.075,-249.1,5,164,1.3,65.9,240.0,10.0,-15.0,1.286,-170.0,5,1.196,77.7,採用候補
"EMAクロス(10,50)",20,10,東京(9-15時),全曜日,なし,レンジのみ,593,1.3,34.9,268.9,19.86,-9.95,1.07,-219.8,11,229,1.4,38.4,331.7,19.71,-9.95,1.236,-110.0,8,1.155,77.4,採用候補
"EMAクロス(10,50)",15,5,東京(9-15時),全曜日,なし,レンジのみ,703,1.6,26.0,137.2,14.96,-5.0,1.053,-270.0,13,247,1.5,29.1,205.0,15.0,-5.0,1.234,-95.0,11,1.172,76.8,採用候補
"EMAクロス(10,50)",20,20,東京(9-15時),全曜日,なし,下降トレンドのみ,411,1.2,52.3,386.9,19.2,-19.08,1.103,-460.0,5,152,1.2,56.6,400.4,19.59,-19.46,1.312,-211.3,5,1.189,76.8,採用候補
"MACDクロス(12,26,9)",15,10,9時台,全曜日,なし,レンジのみ,348,1.2,43.4,260.8,14.75,-9.99,1.133,-112.1,10,116,1.2,49.1,265.0,15.0,-10.0,1.449,-130.0,9,1.279,76.5,採用候補
"MACDクロス(12,26,9)",20,10,9時台,全曜日,なし,レンジのみ,347,1.2,36.3,247.9,19.48,-9.99,1.112,-177.1,10,116,1.2,41.4,280.0,20.0,-10.0,1.412,-130.0,9,1.27,76.4,採用候補
