戦略,利確pips,損切りpips,時間帯,曜日,ボラ条件,トレンド条件,学習_取引回数,学習_1日平均回数,学習_勝率%,学習_総損益pips,学習_平均利益pips,学習_平均損失pips,学習_PF,学習_最大DD_pips,学習_最大連敗,検証_取引回数,検証_1日平均回数,検証_勝率%,検証_総損益pips,検証_平均利益pips,検証_平均損失pips,検証_PF,検証_最大DD_pips,検証_最大連敗,乖離率(検証PF/学習PF),総合スコア,判定
"RSI逆張り(30,70)",20,5,9時台,全曜日,なし,なし,564,1.3,26.4,892.8,19.92,-5.0,1.43,-145.0,21,205,1.3,20.0,0.0,20.0,-5.0,1.0,-195.0,17,0.699,47.8,過剰最適化疑い
"EMAクロス(5,20)",20,10,21時台,全曜日,なし,上昇トレンドのみ,307,1.2,41.4,486.1,17.58,-9.7,1.278,-176.9,8,116,1.1,34.5,-49.9,17.15,-9.68,0.932,-130.0,9,0.729,42.6,過剰最適化疑い
"EMAクロス(5,20)",20,5,NY(21-23時),全曜日,なし,レンジのみ,371,1.5,25.6,352.9,18.19,-4.98,1.257,-93.5,15,161,1.8,14.9,-253.2,17.97,-5.0,0.63,-260.7,18,0.501,16.5,過剰最適化疑い
"RSI逆張り(25,75)",15,5,全時間,全曜日,なし,下降トレンドのみ,1042,2.1,29.3,858.4,14.85,-4.98,1.234,-155.0,15,411,2.3,24.8,-15.0,15.0,-5.0,0.99,-220.0,19,0.802,47.4,過剰最適化疑い
"EMAクロス(5,20)",20,10,21時台,全曜日,なし,なし,726,1.2,40.2,929.6,17.67,-9.75,1.22,-229.5,12,280,1.2,30.7,-366.4,17.81,-9.78,0.807,-412.5,11,0.661,21.4,過剰最適化疑い
"EMAクロス(5,20)",5,15,21時台,全曜日,なし,上昇トレンドのみ,306,1.2,77.1,205.4,5.0,-13.92,1.211,-95.0,3,114,1.1,72.8,-21.0,5.0,-14.06,0.952,-91.1,4,0.786,53.6,過剰最適化疑い
"MACDクロス(12,26,9)",20,5,21時台,全曜日,なし,上昇トレンドのみ,406,1.3,24.9,308.9,18.13,-4.99,1.203,-120.0,21,159,1.4,18.2,-111.5,18.5,-4.98,0.828,-200.3,22,0.688,29.0,過剰最適化疑い
トレンド押し目(EMA200+RSI40/60),20,5,NY(21-23時),全曜日,なし,なし,561,1.4,25.5,421.8,17.49,-4.98,1.203,-105.9,13,257,1.6,19.1,-112.1,18.77,-4.96,0.891,-212.1,19,0.741,33.6,過剰最適化疑い
"RSI逆張り(30,70)",8,10,ロンドン(16-21時),全曜日,なし,レンジのみ,359,1.2,59.9,283.5,7.98,-9.95,1.198,-103.1,6,125,1.4,55.2,-8.0,8.0,-10.0,0.986,-96.0,6,0.823,55.3,過剰最適化疑い
"RSI逆張り(30,70)",20,10,9時台,全曜日,なし,なし,519,1.2,37.6,627.6,19.79,-9.97,1.194,-191.4,10,190,1.2,31.6,-100.0,20.0,-10.0,0.923,-320.0,10,0.773,35.3,過剰最適化疑い
