戦略,利確pips,損切りpips,時間帯,曜日,ボラ条件,トレンド条件,学習_取引回数,学習_1日平均回数,学習_勝率%,学習_総損益pips,学習_平均利益pips,学習_平均損失pips,学習_PF,学習_最大DD_pips,学習_最大連敗,検証_取引回数,検証_1日平均回数,検証_勝率%,検証_総損益pips,検証_平均利益pips,検証_平均損失pips,検証_PF,検証_最大DD_pips,検証_最大連敗,乖離率(検証PF/学習PF),総合スコア,判定
トレンド押し目(EMA200+RSI40/60),8,15,ロンドン(16-21時),全曜日,なし,レンジのみ,487,1.2,59.8,-565.0,7.99,-14.74,0.804,-650.8,5,175,1.3,71.4,250.0,8.0,-15.0,1.333,-83.0,3,1.5,87.4,要注意
トレンド押し目(EMA200+RSI40/60),10,15,ロンドン(16-21時),全曜日,なし,レンジのみ,478,1.2,55.2,-491.3,9.89,-14.5,0.842,-600.1,5,170,1.3,66.5,275.0,10.0,-15.0,1.322,-85.0,3,1.5,87.2,要注意
トレンド押し目(EMA200+RSI40/60),5,15,ロンドン(16-21時),全曜日,なし,レンジのみ,510,1.3,69.0,-591.9,5.0,-14.89,0.748,-661.9,5,181,1.3,78.5,125.0,5.0,-15.0,1.214,-55.0,3,1.5,86.8,要注意
"RSI逆張り(25,75)",20,20,全時間,全曜日,なし,レンジのみ,618,1.3,48.9,-418.0,18.43,-18.93,0.93,-581.0,6,233,1.3,59.2,759.4,18.91,-19.48,1.41,-120.0,4,1.5,85.5,要注意
トレンド押し目(EMA200+RSI40/60),8,10,ロンドン(16-21時),全曜日,なし,レンジのみ,522,1.3,53.1,-234.1,7.99,-9.99,0.904,-342.1,7,191,1.4,62.8,250.0,8.0,-10.0,1.352,-76.0,5,1.496,85.1,要注意
"EMAクロス(5,20)",5,20,東京(9-15時),全曜日,なし,レンジのみ,873,1.5,77.8,-466.2,4.99,-19.87,0.879,-550.0,4,312,1.5,83.0,249.1,5.0,-19.73,1.238,-130.0,2,1.408,85.1,要注意
トレンド押し目(EMA200+RSI40/60),8,5,ロンドン(16-21時),全曜日,なし,上昇トレンドのみ,303,1.2,37.3,-46.0,8.0,-5.0,0.952,-133.0,11,112,1.3,50.9,181.0,8.0,-5.0,1.658,-37.0,7,1.5,84.8,要注意
"EMAクロス(5,20)",8,15,東京(9-15時),全曜日,なし,レンジのみ,847,1.4,62.3,-545.4,7.98,-14.92,0.885,-650.9,10,311,1.5,68.8,257.0,8.0,-15.0,1.177,-101.0,3,1.33,84.8,要注意
"EMAクロス(10,50)",8,20,東京(9-15時),全曜日,なし,下降トレンドのみ,431,1.2,69.8,-131.6,7.98,-19.48,0.948,-420.9,4,158,1.2,76.6,236.7,8.0,-19.76,1.324,-115.3,3,1.397,84.1,要注意
"RSI逆張り(25,75)",10,20,全時間,全曜日,なし,レンジのみ,630,1.3,66.5,140.4,9.87,-18.94,1.035,-320.4,5,234,1.3,72.2,419.7,9.94,-19.39,1.333,-110.0,4,1.288,84.1,要注意
トレンド押し目(EMA200+RSI40/60),15,15,ロンドン(16-21時),全曜日,なし,レンジのみ,463,1.2,47.3,-351.7,14.55,-14.5,0.901,-525.5,8,166,1.2,57.2,376.8,14.93,-14.67,1.362,-105.0,5,1.5,83.9,要注意
トレンド押し目(EMA200+RSI40/60),20,15,ロンドン(16-21時),全曜日,なし,レンジのみ,459,1.2,41.8,-218.3,18.99,-14.47,0.944,-344.4,8,163,1.2,50.3,425.8,19.73,-14.71,1.357,-100.0,5,1.438,83.6,要注意
