entry_time,exit_time,side,pnl_pips,exit_reason
2021-01-04 09:10:00,2021-01-04 12:35:00,売り,20.0,利確
2021-01-05 09:05:00,2021-01-05 09:50:00,買い,-5.0,損切り
2021-01-05 11:00:00,2021-01-05 15:20:00,売り,20.0,利確
2021-01-07 10:30:00,2021-01-07 16:30:00,買い,20.0,利確
2021-01-08 09:10:00,2021-01-08 09:25:00,買い,-5.0,損切り
2021-01-08 09:35:00,2021-01-08 09:50:00,売り,-5.0,損切り
2021-01-08 10:00:00,2021-01-08 11:50:00,買い,-5.0,損切り
2021-01-08 14:00:00,2021-01-08 17:05:00,買い,20.0,利確
2021-01-12 10:00:00,2021-01-12 15:45:00,買い,-5.0,損切り
2021-01-14 09:50:00,2021-01-14 10:15:00,買い,-5.0,損切り
2021-01-14 10:30:00,2021-01-14 11:20:00,売り,-5.0,損切り
2021-01-15 09:20:00,2021-01-15 09:20:00,売り,-5.0,損切り
2021-01-15 14:20:00,2021-01-15 14:35:00,売り,-5.0,損切り
2021-01-19 09:30:00,2021-01-19 09:50:00,売り,-5.0,損切り
2021-01-19 09:55:00,2021-01-19 11:30:00,買い,20.0,利確
2021-01-21 10:25:00,2021-01-21 11:00:00,売り,-5.0,損切り
2021-01-25 10:05:00,2021-01-25 11:35:00,買い,-5.0,損切り
2021-02-01 11:45:00,2021-02-01 13:10:00,買い,-5.0,損切り
2021-02-02 11:40:00,2021-02-02 17:35:00,買い,-5.0,損切り
2021-02-03 14:50:00,2021-02-03 15:05:00,売り,-5.0,損切り
2021-02-05 11:50:00,2021-02-05 15:50:00,買い,-5.0,損切り
2021-02-10 12:10:00,2021-02-10 18:35:00,売り,-5.0,損切り
2021-02-19 10:40:00,2021-02-19 11:00:00,売り,-5.0,損切り
2021-02-19 11:05:00,2021-02-19 11:40:00,買い,-5.0,損切り
2021-02-19 11:50:00,2021-02-19 12:35:00,売り,-5.0,損切り
2021-02-19 13:25:00,2021-02-19 17:30:00,売り,20.0,利確
2021-02-22 09:25:00,2021-02-22 10:20:00,売り,-5.0,損切り
2021-03-01 10:30:00,2021-03-01 10:40:00,買い,-5.0,損切り
2021-03-02 13:40:00,2021-03-02 16:45:00,買い,-5.0,損切り
2021-03-03 09:25:00,2021-03-03 09:40:00,売り,-5.0,損切り
2021-03-05 11:35:00,2021-03-05 11:55:00,買い,-5.0,損切り
2021-03-11 09:40:00,2021-03-11 14:10:00,買い,20.0,利確
2021-03-15 11:20:00,2021-03-15 15:00:00,買い,20.0,利確
2021-03-16 14:20:00,2021-03-16 15:30:00,買い,-5.0,損切り
2021-03-18 12:15:00,2021-03-18 12:50:00,売り,-5.0,損切り
2021-03-19 09:05:00,2021-03-19 12:40:00,買い,-5.0,損切り
2021-03-23 09:35:00,2021-03-23 11:00:00,買い,-5.0,損切り
2021-04-02 09:10:00,2021-04-02 09:45:00,売り,-5.0,損切り
2021-04-02 12:40:00,2021-04-02 17:50:00,売り,20.0,利確
2021-04-06 09:00:00,2021-04-06 09:00:00,買い,-5.0,損切り
2021-04-06 09:05:00,2021-04-06 09:20:00,売り,-5.0,損切り
