戦略名,戦略種別,利確pips,損切りpips,時間帯,曜日,トレンド条件,ボラ条件,EMA短期,EMA長期,学習_取引回数,学習_勝率%,学習_総損益pips,学習_平均利益pips,学習_平均損失pips,学習_PF,学習_最大DD_pips,学習_最大連敗,検証_取引回数,検証_勝率%,検証_総損益pips,検証_平均利益pips,検証_平均損失pips,検証_PF,検証_最大DD_pips,検証_最大連敗,判定,総合スコア
ema_cross(EMA5/20),ema_cross,5,12,ロンドン(16-21),全曜日,なし,ATR低,5,20,366,68.0,-121.0,4.98,-11.64,0.911,-268.4,3,162,77.2,213.2,5.0,-11.13,1.518,-56.0,3,要注意,70.8
ema_cross(EMA5/20),ema_cross,5,15,東京(9-15),全曜日,レンジのみ,なし,5,20,910,73.5,-265.3,4.99,-14.96,0.926,-339.6,4,330,78.5,230.0,5.0,-15.0,1.216,-130.0,4,要注意,69.2
ema_cross(EMA5/20),ema_cross,5,12,東京(9-15),全曜日,レンジのみ,なし,5,20,957,69.7,-149.6,4.99,-12.0,0.957,-283.0,5,350,73.1,152.0,5.0,-12.0,1.135,-101.0,4,要注意,66.1
ema_cross(EMA5/20),ema_cross,5,15,東京(9-15),全曜日,なし,ATR高,5,20,763,74.2,-125.0,5.0,-15.0,0.958,-335.0,5,334,76.9,130.0,5.0,-15.0,1.113,-110.0,3,要注意,65.0
ema_cross(EMA5/20),ema_cross,5,15,東京(9-15),全曜日,なし,直近30分変動大,5,20,1383,71.1,-1065.0,5.0,-15.0,0.822,-1185.0,6,644,75.2,24.4,5.0,-14.97,1.01,-200.6,4,要注意,65.0
ema_cross(EMA5/20),ema_cross,5,15,ロンドン(16-21),全曜日,なし,ATR低,5,20,355,73.0,-54.2,4.98,-14.01,0.96,-207.4,3,161,78.3,149.2,5.0,-13.74,1.31,-60.0,3,要注意,63.6
ema_cross(EMA5/20),ema_cross,5,15,東京(9-15),全曜日,レンジのみ,直近30分変動大,5,20,452,71.0,-360.0,5.0,-15.0,0.817,-380.0,5,193,78.8,145.0,5.0,-15.0,1.236,-100.0,3,要注意,62.4
ema_cross(EMA5/20),ema_cross,5,15,東京(9-15),金,なし,なし,5,20,568,72.2,-310.3,5.0,-14.94,0.869,-475.0,4,217,78.3,149.4,5.0,-14.91,1.213,-90.0,4,要注意,61.9
ema_cross(EMA5/20),ema_cross,5,15,全時間,火,下降のみ,なし,5,20,586,73.0,-217.5,5.0,-14.92,0.908,-355.0,5,265,77.0,105.0,5.0,-15.0,1.115,-100.0,3,要注意,61.8
ema_cross(EMA5/20),ema_cross,5,10,ロンドン(16-21),全曜日,なし,ATR低,5,20,387,64.3,-105.5,5.0,-9.79,0.922,-246.1,5,167,71.9,139.1,5.0,-9.81,1.302,-75.0,4,要注意,61.6
