戦略,戦略タイプ,利確pips,損切りpips,時間帯,曜日,トレンド環境,ボラ環境,学習_取引回数,学習_1日平均回数,学習_勝率%,学習_総損益pips,学習_平均利益pips,学習_平均損失pips,学習_PF,学習_最大DD_pips,学習_最大連敗,検証_取引回数,検証_1日平均回数,検証_勝率%,検証_総損益pips,検証_平均利益pips,検証_平均損失pips,検証_PF,検証_最大DD_pips,検証_最大連敗,乖離率(検証PF/学習PF),総合スコア,判定
"BB逆張り(期間20, 2.5σ)",BB逆張り,30,15,全時間,全曜日,下降のみ,ATR低,366,1.1,42.6,1008.7,25.53,-14.16,1.339,-190.6,10,137,1.2,29.9,-309.0,25.9,-14.28,0.775,-481.0,9,0.579,24.9,過剰最適化疑い
"MACDクロス(12,26,6)",MACDクロス,30,5,NY(21-23時),月,なし,なし,366,1.8,23.0,460.3,21.99,-4.92,1.332,-133.1,17,147,2.0,17.7,-61.1,20.92,-5.0,0.899,-199.7,19,0.675,33.1,過剰最適化疑い
"BB逆張り(期間20, 2.5σ)",BB逆張り,25,30,全時間,全曜日,下降のみ,ATR低,347,1.1,60.8,1056.1,21.43,-25.49,1.305,-197.7,7,123,1.1,46.3,-424.6,21.91,-25.35,0.746,-680.5,7,0.572,24.2,過剰最適化疑い
"BBブレイク(期間25, 1.5σ)",BBブレイク,30,5,全時間,月,順方向のみ,ATR高,363,3.1,19.0,421.4,27.37,-4.99,1.287,-195.0,30,141,2.9,13.5,-40.0,30.0,-5.0,0.934,-140.0,25,0.726,36.9,過剰最適化疑い
"BBブレイク(期間20, 2.0σ)",BBブレイク,25,20,全時間,水,上昇のみ,直近30分変動大,468,2.8,52.1,1214.9,22.97,-19.6,1.277,-397.0,7,206,3.0,43.2,-211.6,22.94,-19.26,0.906,-449.2,10,0.709,29.6,過剰最適化疑い
"BBブレイク(期間30, 1.5σ)",BBブレイク,25,5,NY(21-23時),全曜日,上昇のみ,なし,866,1.7,24.0,899.1,20.02,-4.96,1.275,-249.7,26,339,1.8,18.6,-135.4,19.7,-4.99,0.902,-245.9,41,0.707,30.8,過剰最適化疑い
"BBブレイク(期間30, 2.0σ)",BBブレイク,30,5,21時台,全曜日,なし,なし,872,1.3,20.6,937.3,24.38,-4.99,1.272,-165.0,20,303,1.3,13.5,-244.3,25.99,-5.0,0.814,-254.3,20,0.64,27.1,過剰最適化疑い
押し目(EMA200+RSI40/55),押し目,15,8,NY(21-23時),全曜日,なし,ATR高,385,1.3,41.0,469.2,14.33,-7.91,1.261,-133.0,12,127,1.3,33.1,-42.5,14.85,-7.84,0.936,-198.5,9,0.742,36.5,過剰最適化疑い
"BB逆張り(期間20, 2.0σ)",BB逆張り,4,25,ロンドン(16-21時),全曜日,順方向のみ,直近30分変動大,336,1.1,88.4,233.1,4.0,-24.48,1.244,-114.0,3,147,1.1,84.4,-60.6,4.0,-24.2,0.891,-130.0,2,0.716,40.4,過剰最適化疑い
"BBブレイク(期間30, 1.5σ)",BBブレイク,30,8,全時間,月,順方向のみ,ATR高,319,2.7,26.3,450.3,27.55,-7.93,1.242,-351.3,15,123,2.6,20.3,-53.5,29.22,-8.0,0.932,-123.5,15,0.75,36.3,過剰最適化疑い
