戦略,戦略タイプ,利確pips,損切りpips,時間帯,曜日,トレンド環境,ボラ環境,学習_取引回数,学習_1日平均回数,学習_勝率%,学習_総損益pips,学習_期待値pips/回,学習_総利益pips,学習_総損失pips,学習_平均利益pips,学習_平均損失pips,学習_損益比,学習_PF,学習_最大DD_pips,学習_最大連敗,検証_取引回数,検証_1日平均回数,検証_勝率%,検証_総損益pips,検証_期待値pips/回,検証_総利益pips,検証_総損失pips,検証_平均利益pips,検証_平均損失pips,検証_損益比,検証_PF,検証_最大DD_pips,検証_最大連敗,乖離率(検証PF/学習PF),総合スコア,判定
"BB逆張り(期間30, 1.5σ)",BB逆張り,4,30,東京(9-15時),全曜日,レンジのみ,直近30分変動大,322,1.4,88.8,64.0,0.199,1144.0,1080.0,4.0,-30.0,0.133,1.059,-174.0,3,152,1.3,92.1,200.0,1.316,560.0,360.0,4.0,-30.0,0.133,1.556,-66.0,1,1.469,79.0,採用候補
"BBブレイク(期間20, 2.0σ)",BBブレイク,6,5,東京(9-15時),全曜日,順方向のみ,ATR低,561,1.4,47.8,143.0,0.255,1608.0,1465.0,6.0,-5.0,1.2,1.098,-101.0,7,208,1.5,54.3,203.0,0.976,678.0,475.0,6.0,-5.0,1.2,1.427,-29.0,4,1.3,77.1,採用候補
"BB逆張り(期間14, 1.5σ)",BB逆張り,4,30,9時台,全曜日,レンジのみ,なし,514,1.2,88.5,128.8,0.251,1820.0,1691.2,4.0,-28.66,0.14,1.076,-190.0,3,184,1.2,91.3,215.2,1.17,672.0,456.8,4.0,-28.55,0.14,1.471,-98.0,2,1.367,74.9,採用候補
"BB逆張り(期間14, 2.0σ)",BB逆張り,4,30,全時間,金,順方向のみ,直近30分変動大,410,2.5,89.0,176.8,0.431,1460.0,1283.2,4.0,-28.52,0.14,1.138,-222.0,2,174,2.4,89.7,125.2,0.72,624.0,498.8,4.0,-27.71,0.144,1.251,-92.0,1,1.099,73.3,採用候補
"BBブレイク(期間20, 2.5σ)",BBブレイク,25,20,全時間,木,下降のみ,なし,349,2.3,51.0,901.7,2.584,4219.0,3317.3,23.7,-19.4,1.222,1.272,-206.4,9,109,2.1,54.1,514.7,4.722,1458.3,943.6,24.72,-18.87,1.31,1.545,-80.0,4,1.215,72.3,採用候補
"MACDクロス(16,26,9)",MACDクロス,12,5,全時間,月,なし,ATR低,570,3.6,30.7,99.7,0.175,2070.1,1970.4,11.83,-4.99,2.371,1.051,-106.0,17,196,3.6,39.3,319.7,1.631,914.7,595.0,11.88,-5.0,2.376,1.537,-71.0,8,1.462,72.3,採用候補
"BBブレイク(期間25, 2.0σ)",BBブレイク,10,10,東京(9-15時),全曜日,順方向のみ,ATR低,477,1.2,53.7,347.5,0.729,2553.3,2205.8,9.97,-9.98,0.999,1.158,-150.0,8,180,1.3,55.6,207.1,1.151,1000.0,792.9,10.0,-9.91,1.009,1.261,-60.0,4,1.089,71.1,採用候補
"BBブレイク(期間30, 2.0σ)",BBブレイク,10,12,東京(9-15時),月,なし,直近30分変動大,380,2.4,57.4,229.7,0.604,2173.7,1944.0,9.97,-12.0,0.831,1.118,-132.0,9,172,2.4,61.6,268.0,1.558,1060.0,792.0,10.0,-12.0,0.833,1.338,-88.0,4,1.197,71.0,採用候補
"BBブレイク(期間30, 2.0σ)",BBブレイク,5,20,ロンドン(16-21時),全曜日,順方向のみ,ATR高,580,1.7,81.4,238.5,0.411,2360.0,2121.5,5.0,-19.64,0.255,1.112,-159.3,4,178,1.7,83.1,153.1,0.86,740.0,586.9,5.0,-19.56,0.256,1.261,-85.0,3,1.134,70.9,採用候補
"BBブレイク(期間30, 2.0σ)",BBブレイク,4,25,東京(9-15時),全曜日,上昇のみ,ATR低,467,1.4,86.3,110.8,0.237,1612.0,1501.2,4.0,-23.46,0.171,1.074,-126.2,3,177,1.5,88.1,102.4,0.579,620.9,518.5,3.98,-24.69,0.161,1.197,-83.0,2,1.115,70.9,採用候補
"MACDクロス(8,26,6)",MACDクロス,8,15,全時間,金,レンジのみ,ATR高,383,2.7,66.3,127.0,0.332,2032.0,1905.0,8.0,-14.77,0.542,1.067,-234.0,4,109,2.7,69.7,121.1,1.111,602.3,481.2,7.92,-14.58,0.543,1.252,-67.0,4,1.173,70.2,採用候補
"MACDクロス(12,21,12)",MACDクロス,20,20,東京(9-15時),全曜日,下降のみ,ATR高,360,1.6,51.9,247.7,0.688,3698.9,3451.2,19.78,-19.95,0.992,1.072,-291.8,7,160,1.6,58.8,534.0,3.338,1854.0,1320.0,19.72,-20.0,0.986,1.405,-120.0,5,1.311,70.1,採用候補
"RSI逆張り(期間7, 25/75)",RSI逆張り,6,20,全時間,火,順方向のみ,なし,375,2.0,78.1,140.5,0.375,1758.0,1617.5,6.0,-19.73,0.304,1.087,-310.0,3,168,2.3,79.2,109.9,0.654,798.0,688.1,6.0,-19.66,0.305,1.16,-74.0,3,1.067,69.2,採用候補
"BBブレイク(期間30, 1.5σ)",BBブレイク,25,30,全時間,木,順方向のみ,ATR高,440,2.4,57.7,916.7,2.083,5966.1,5049.4,23.49,-27.15,0.865,1.182,-278.6,11,138,2.5,60.1,492.8,3.571,2075.0,1582.2,25.0,-28.77,0.869,1.311,-160.0,3,1.109,69.1,採用候補
