候補No,戦略,条件,月,取引回数,損益pips,期待値pips/回,PF,勝率%
1,"MACDクロス(12,21,12)",TP20 SL20 東京(9-15時) 全曜日 下降のみ ATR高,2025-01,14,80.0,5.714,1.8,64.3
1,"MACDクロス(12,21,12)",TP20 SL20 東京(9-15時) 全曜日 下降のみ ATR高,2025-02,11,60.0,5.455,1.75,63.6
1,"MACDクロス(12,21,12)",TP20 SL20 東京(9-15時) 全曜日 下降のみ ATR高,2025-03,16,40.0,2.5,1.286,56.2
1,"MACDクロス(12,21,12)",TP20 SL20 東京(9-15時) 全曜日 下降のみ ATR高,2025-04,20,160.0,8.0,2.333,70.0
1,"MACDクロス(12,21,12)",TP20 SL20 東京(9-15時) 全曜日 下降のみ ATR高,2025-05,11,-20.0,-1.818,0.833,45.5
1,"MACDクロス(12,21,12)",TP20 SL20 東京(9-15時) 全曜日 下降のみ ATR高,2025-06,10,80.0,8.0,2.333,70.0
1,"MACDクロス(12,21,12)",TP20 SL20 東京(9-15時) 全曜日 下降のみ ATR高,2025-07,4,0.0,0.0,1.0,50.0
1,"MACDクロス(12,21,12)",TP20 SL20 東京(9-15時) 全曜日 下降のみ ATR高,2025-08,5,20.0,4.0,1.5,60.0
1,"MACDクロス(12,21,12)",TP20 SL20 東京(9-15時) 全曜日 下降のみ ATR高,2025-09,6,40.0,6.667,2.0,66.7
1,"MACDクロス(12,21,12)",TP20 SL20 東京(9-15時) 全曜日 下降のみ ATR高,2025-10,11,-20.0,-1.818,0.833,45.5
1,"MACDクロス(12,21,12)",TP20 SL20 東京(9-15時) 全曜日 下降のみ ATR高,2025-11,7,20.0,2.857,1.333,57.1
1,"MACDクロス(12,21,12)",TP20 SL20 東京(9-15時) 全曜日 下降のみ ATR高,2025-12,12,-40.0,-3.333,0.714,41.7
1,"MACDクロス(12,21,12)",TP20 SL20 東京(9-15時) 全曜日 下降のみ ATR高,2026-01,9,20.0,2.222,1.25,55.6
1,"MACDクロス(12,21,12)",TP20 SL20 東京(9-15時) 全曜日 下降のみ ATR高,2026-02,13,20.0,1.538,1.167,53.8
1,"MACDクロス(12,21,12)",TP20 SL20 東京(9-15時) 全曜日 下降のみ ATR高,2026-03,2,0.0,0.0,1.0,50.0
1,"MACDクロス(12,21,12)",TP20 SL20 東京(9-15時) 全曜日 下降のみ ATR高,2026-04,3,60.0,20.0,999.0,100.0
1,"MACDクロス(12,21,12)",TP20 SL20 東京(9-15時) 全曜日 下降のみ ATR高,2026-05,3,20.0,6.667,2.0,66.7
1,"MACDクロス(12,21,12)",TP20 SL20 東京(9-15時) 全曜日 下降のみ ATR高,2026-06,3,-6.0,-2.0,0.7,66.7
2,"BBブレイク(期間20, 2.5σ)",TP25 SL20 全時間 木 下降のみ なし,2025-01,13,55.0,4.231,1.458,53.8
2,"BBブレイク(期間20, 2.5σ)",TP25 SL20 全時間 木 下降のみ なし,2025-02,10,106.1,10.61,3.417,60.0
2,"BBブレイク(期間20, 2.5σ)",TP25 SL20 全時間 木 下降のみ なし,2025-03,6,15.0,2.5,1.25,50.0
2,"BBブレイク(期間20, 2.5σ)",TP25 SL20 全時間 木 下降のみ なし,2025-04,9,17.6,1.956,1.214,44.4
2,"BBブレイク(期間20, 2.5σ)",TP25 SL20 全時間 木 下降のみ なし,2025-05,6,15.0,2.5,1.25,50.0
2,"BBブレイク(期間20, 2.5σ)",TP25 SL20 全時間 木 下降のみ なし,2025-06,10,115.0,11.5,2.917,70.0
2,"BBブレイク(期間20, 2.5σ)",TP25 SL20 全時間 木 下降のみ なし,2025-07,6,15.0,2.5,1.25,50.0
2,"BBブレイク(期間20, 2.5σ)",TP25 SL20 全時間 木 下降のみ なし,2025-08,8,65.0,8.125,2.083,62.5
2,"BBブレイク(期間20, 2.5σ)",TP25 SL20 全時間 木 下降のみ なし,2025-09,2,50.0,25.0,999.0,100.0
2,"BBブレイク(期間20, 2.5σ)",TP25 SL20 全時間 木 下降のみ なし,2025-10,4,55.0,13.75,3.75,75.0
2,"BBブレイク(期間20, 2.5σ)",TP25 SL20 全時間 木 下降のみ なし,2025-11,6,7.3,1.217,1.122,50.0
2,"BBブレイク(期間20, 2.5σ)",TP25 SL20 全時間 木 下降のみ なし,2025-12,10,23.8,2.38,1.238,50.0
2,"BBブレイク(期間20, 2.5σ)",TP25 SL20 全時間 木 下降のみ なし,2026-01,3,-60.0,-20.0,0.0,0.0
2,"BBブレイク(期間20, 2.5σ)",TP25 SL20 全時間 木 下降のみ なし,2026-03,4,55.0,13.75,3.75,75.0
2,"BBブレイク(期間20, 2.5σ)",TP25 SL20 全時間 木 下降のみ なし,2026-04,3,30.0,10.0,2.5,66.7
2,"BBブレイク(期間20, 2.5σ)",TP25 SL20 全時間 木 下降のみ なし,2026-05,6,-37.8,-6.3,0.528,33.3
2,"BBブレイク(期間20, 2.5σ)",TP25 SL20 全時間 木 下降のみ なし,2026-06,3,-12.3,-4.1,0.67,33.3
3,"BBブレイク(期間30, 1.5σ)",TP25 SL30 全時間 木 順方向のみ ATR高,2025-01,10,-122.1,-12.21,0.381,30.0
3,"BBブレイク(期間30, 1.5σ)",TP25 SL30 全時間 木 順方向のみ ATR高,2025-02,6,-15.0,-2.5,0.833,50.0
3,"BBブレイク(期間30, 1.5σ)",TP25 SL30 全時間 木 順方向のみ ATR高,2025-03,6,40.0,6.667,1.667,66.7
3,"BBブレイク(期間30, 1.5σ)",TP25 SL30 全時間 木 順方向のみ ATR高,2025-04,24,215.0,8.958,2.024,70.8
3,"BBブレイク(期間30, 1.5σ)",TP25 SL30 全時間 木 順方向のみ ATR高,2025-05,12,216.7,18.058,7.508,83.3
3,"BBブレイク(期間30, 1.5σ)",TP25 SL30 全時間 木 順方向のみ ATR高,2025-06,10,30.0,3.0,1.25,60.0
3,"BBブレイク(期間30, 1.5σ)",TP25 SL30 全時間 木 順方向のみ ATR高,2025-07,7,10.0,1.429,1.111,57.1
3,"BBブレイク(期間30, 1.5σ)",TP25 SL30 全時間 木 順方向のみ ATR高,2025-08,2,-60.0,-30.0,0.0,0.0
3,"BBブレイク(期間30, 1.5σ)",TP25 SL30 全時間 木 順方向のみ ATR高,2025-09,6,95.0,15.833,4.167,83.3
3,"BBブレイク(期間30, 1.5σ)",TP25 SL30 全時間 木 順方向のみ ATR高,2025-10,12,-85.0,-7.083,0.595,41.7
3,"BBブレイク(期間30, 1.5σ)",TP25 SL30 全時間 木 順方向のみ ATR高,2025-11,5,15.0,3.0,1.25,60.0
3,"BBブレイク(期間30, 1.5σ)",TP25 SL30 全時間 木 順方向のみ ATR高,2025-12,10,85.0,8.5,1.944,70.0
3,"BBブレイク(期間30, 1.5σ)",TP25 SL30 全時間 木 順方向のみ ATR高,2026-01,9,-105.0,-11.667,0.417,33.3
3,"BBブレイク(期間30, 1.5σ)",TP25 SL30 全時間 木 順方向のみ ATR高,2026-02,8,35.0,4.375,1.389,62.5
3,"BBブレイク(期間30, 1.5σ)",TP25 SL30 全時間 木 順方向のみ ATR高,2026-03,1,25.0,25.0,999.0,100.0
3,"BBブレイク(期間30, 1.5σ)",TP25 SL30 全時間 木 順方向のみ ATR高,2026-04,5,70.0,14.0,3.333,80.0
3,"BBブレイク(期間30, 1.5σ)",TP25 SL30 全時間 木 順方向のみ ATR高,2026-05,3,-6.8,-2.267,0.786,33.3
3,"BBブレイク(期間30, 1.5σ)",TP25 SL30 全時間 木 順方向のみ ATR高,2026-06,2,50.0,25.0,999.0,100.0
4,"MACDクロス(12,21,12)",TP30 SL20 東京(9-15時) 火 なし なし,2025-01,12,60.0,5.0,1.5,50.0
4,"MACDクロス(12,21,12)",TP30 SL20 東京(9-15時) 火 なし なし,2025-02,7,160.0,22.857,9.0,85.7
4,"MACDクロス(12,21,12)",TP30 SL20 東京(9-15時) 火 なし なし,2025-03,11,-20.0,-1.818,0.857,36.4
4,"MACDクロス(12,21,12)",TP30 SL20 東京(9-15時) 火 なし なし,2025-04,14,-30.0,-2.143,0.833,35.7
4,"MACDクロス(12,21,12)",TP30 SL20 東京(9-15時) 火 なし なし,2025-05,9,120.0,13.333,3.0,66.7
4,"MACDクロス(12,21,12)",TP30 SL20 東京(9-15時) 火 なし なし,2025-06,12,110.0,9.167,2.1,58.3
4,"MACDクロス(12,21,12)",TP30 SL20 東京(9-15時) 火 なし なし,2025-07,8,-110.0,-13.75,0.214,12.5
4,"MACDクロス(12,21,12)",TP30 SL20 東京(9-15時) 火 なし なし,2025-08,8,90.0,11.25,2.5,62.5
4,"MACDクロス(12,21,12)",TP30 SL20 東京(9-15時) 火 なし なし,2025-09,9,82.5,9.167,2.222,55.6
4,"MACDクロス(12,21,12)",TP30 SL20 東京(9-15時) 火 なし なし,2025-10,9,20.0,2.222,1.2,44.4
4,"MACDクロス(12,21,12)",TP30 SL20 東京(9-15時) 火 なし なし,2025-11,9,70.0,7.778,1.875,55.6
4,"MACDクロス(12,21,12)",TP30 SL20 東京(9-15時) 火 なし なし,2025-12,8,-10.0,-1.25,0.9,37.5
4,"MACDクロス(12,21,12)",TP30 SL20 東京(9-15時) 火 なし なし,2026-01,10,-50.0,-5.0,0.643,30.0
4,"MACDクロス(12,21,12)",TP30 SL20 東京(9-15時) 火 なし なし,2026-02,8,40.0,5.0,1.5,50.0
4,"MACDクロス(12,21,12)",TP30 SL20 東京(9-15時) 火 なし なし,2026-03,8,-10.0,-1.25,0.9,37.5
4,"MACDクロス(12,21,12)",TP30 SL20 東京(9-15時) 火 なし なし,2026-04,6,-20.0,-3.333,0.75,33.3
4,"MACDクロス(12,21,12)",TP30 SL20 東京(9-15時) 火 なし なし,2026-05,4,20.0,5.0,1.5,50.0
4,"MACDクロス(12,21,12)",TP30 SL20 東京(9-15時) 火 なし なし,2026-06,6,31.0,5.167,1.64,50.0
5,"MACDクロス(16,21,6)",TP25 SL30 東京(9-15時) 火 なし なし,2025-01,12,25.0,2.083,1.167,58.3
5,"MACDクロス(16,21,6)",TP25 SL30 東京(9-15時) 火 なし なし,2025-02,9,170.0,18.889,6.667,88.9
5,"MACDクロス(16,21,6)",TP25 SL30 東京(9-15時) 火 なし なし,2025-03,11,-26.2,-2.382,0.827,45.5
5,"MACDクロス(16,21,6)",TP25 SL30 東京(9-15時) 火 なし なし,2025-04,10,-25.0,-2.5,0.833,50.0
5,"MACDクロス(16,21,6)",TP25 SL30 東京(9-15時) 火 なし なし,2025-05,8,145.0,18.125,5.833,87.5
5,"MACDクロス(16,21,6)",TP25 SL30 東京(9-15時) 火 なし なし,2025-06,9,60.0,6.667,1.667,66.7
5,"MACDクロス(16,21,6)",TP25 SL30 東京(9-15時) 火 なし なし,2025-07,9,-50.0,-5.556,0.667,44.4
5,"MACDクロス(16,21,6)",TP25 SL30 東京(9-15時) 火 なし なし,2025-08,8,8.9,1.113,1.098,50.0
5,"MACDクロス(16,21,6)",TP25 SL30 東京(9-15時) 火 なし なし,2025-09,8,57.5,7.188,1.852,62.5
5,"MACDクロス(16,21,6)",TP25 SL30 東京(9-15時) 火 なし なし,2025-10,8,35.0,4.375,1.389,62.5
5,"MACDクロス(16,21,6)",TP25 SL30 東京(9-15時) 火 なし なし,2025-11,8,90.0,11.25,2.5,75.0
5,"MACDクロス(16,21,6)",TP25 SL30 東京(9-15時) 火 なし なし,2025-12,7,-45.0,-6.429,0.625,42.9
5,"MACDクロス(16,21,6)",TP25 SL30 東京(9-15時) 火 なし なし,2026-01,9,33.5,3.722,1.366,55.6
5,"MACDクロス(16,21,6)",TP25 SL30 東京(9-15時) 火 なし なし,2026-02,8,35.0,4.375,1.389,62.5
5,"MACDクロス(16,21,6)",TP25 SL30 東京(9-15時) 火 なし なし,2026-03,8,-20.0,-2.5,0.833,50.0
5,"MACDクロス(16,21,6)",TP25 SL30 東京(9-15時) 火 なし なし,2026-04,6,-15.0,-2.5,0.833,50.0
5,"MACDクロス(16,21,6)",TP25 SL30 東京(9-15時) 火 なし なし,2026-05,4,45.0,11.25,2.5,75.0
5,"MACDクロス(16,21,6)",TP25 SL30 東京(9-15時) 火 なし なし,2026-06,6,-8.2,-1.367,0.878,50.0
6,"BBブレイク(期間30, 2.0σ)",TP10 SL12 東京(9-15時) 月 なし 直近30分変動大,2025-01,15,40.0,2.667,1.667,66.7
6,"BBブレイク(期間30, 2.0σ)",TP10 SL12 東京(9-15時) 月 なし 直近30分変動大,2025-02,8,14.0,1.75,1.389,62.5
