month,trades,pnl_pips,pf,expectancy,win_rate_pct,max_dd_pips,max_losing_streak
2021-02,4,65.4,999.0,16.35,100.0,0.0,0
2021-03,2,0.0,1.0,0.0,50.0,-20.0,1
2021-04,9,20.0,1.25,2.222,55.6,-40.0,2
2021-06,2,0.0,1.0,0.0,50.0,0.0,1
2021-07,4,40.0,3.0,10.0,75.0,-20.0,1
2021-08,2,-14.7,0.265,-7.35,50.0,0.0,1
2021-09,2,40.0,999.0,20.0,100.0,0.0,0
2021-10,7,-60.0,0.4,-8.571,28.6,-60.0,3
2021-11,7,-20.0,0.75,-2.857,42.9,-60.0,3
2021-12,2,-40.0,0.0,-20.0,0.0,-20.0,2
2022-01,8,-51.8,0.482,-6.475,37.5,-60.0,2
2022-02,5,-100.0,0.0,-20.0,0.0,-80.0,5
2022-03,7,60.0,2.5,8.571,71.4,-20.0,1
2022-04,8,0.0,1.0,0.0,50.0,-80.0,4
2022-05,11,100.0,2.667,9.091,72.7,-20.0,1
2022-06,5,-20.0,0.667,-4.0,40.0,-40.0,2
2022-07,11,-20.0,0.833,-1.818,45.5,-60.0,3
2022-08,7,100.0,6.0,14.286,85.7,-20.0,1
2022-09,13,20.0,1.167,1.538,53.8,-60.0,3
2022-10,3,-60.0,0.0,-20.0,0.0,-40.0,3
2022-11,9,-20.0,0.8,-2.222,44.4,-60.0,2
2022-12,9,-20.0,0.8,-2.222,44.4,-80.0,4
2023-01,16,80.0,1.667,5.0,62.5,-60.0,3
2023-02,3,-20.0,0.5,-6.667,33.3,-40.0,2
2023-03,14,40.0,1.333,2.857,57.1,-40.0,2
2023-04,2,-40.0,0.0,-20.0,0.0,-20.0,2
2023-05,3,-20.0,0.5,-6.667,33.3,-20.0,1
2023-06,2,0.0,1.0,0.0,50.0,0.0,1
2023-07,11,140.0,4.5,12.727,81.8,-20.0,1
2023-08,1,20.0,999.0,20.0,100.0,0.0,0
2023-09,6,40.0,2.0,6.667,66.7,-20.0,1
2023-10,2,40.0,999.0,20.0,100.0,0.0,0
2023-11,17,-140.0,0.417,-8.235,29.4,-160.0,5
2023-12,17,60.0,1.429,3.529,58.8,-20.0,1
2024-01,2,40.0,999.0,20.0,100.0,0.0,0
2024-02,2,0.0,1.0,0.0,50.0,0.0,1
2024-03,16,-71.2,0.628,-4.45,37.5,-91.2,4
2024-04,5,60.0,4.0,12.0,80.0,-20.0,1
2024-05,8,80.0,3.0,10.0,75.0,-20.0,1
2024-06,7,20.0,1.333,2.857,57.1,-60.0,3
2024-07,23,100.0,1.556,4.348,60.9,-20.0,2
2024-08,20,-40.0,0.818,-2.0,45.0,-80.0,2
2024-09,23,-140.0,0.533,-6.087,34.8,-160.0,5
2024-10,2,0.0,1.0,0.0,50.0,-20.0,1
2024-11,21,-20.0,0.909,-0.952,47.6,-140.0,5
2025-01,14,80.0,1.8,5.714,64.3,-80.0,4
2025-02,11,60.0,1.75,5.455,63.6,-40.0,2
2025-03,16,40.0,1.286,2.5,56.2,-40.0,2
2025-04,20,160.0,2.333,8.0,70.0,-40.0,2
2025-05,11,-20.0,0.833,-1.818,45.5,-80.0,4
2025-06,10,80.0,2.333,8.0,70.0,-40.0,2
2025-07,4,0.0,1.0,0.0,50.0,-20.0,2
2025-08,5,20.0,1.5,4.0,60.0,-20.0,1
2025-09,6,40.0,2.0,6.667,66.7,-20.0,1
2025-10,11,-20.0,0.833,-1.818,45.5,-40.0,3
2025-11,7,20.0,1.333,2.857,57.1,-40.0,2
2025-12,12,-40.0,0.714,-3.333,41.7,-80.0,4
2026-01,9,20.0,1.25,2.222,55.6,-40.0,2
2026-02,13,20.0,1.167,1.538,53.8,-40.0,2
2026-03,2,0.0,1.0,0.0,50.0,-20.0,1
2026-04,3,60.0,999.0,20.0,100.0,0.0,0
2026-05,3,20.0,2.0,6.667,66.7,-20.0,1
2026-06,3,-6.0,0.7,-2.0,66.7,-20.0,1
