candidate_no,v08判定,v08スコア,strategy,strategy_type,tp_pips,sl_pips,time_filter,weekday_filter,trend_filter,vol_filter,entry_time,exit_time,side,entry_open,exit_close,pnl_pips,exit_reason,equity_pips,running_max_pips,drawdown_pips,year,month,weekday_num,weekday,hour,v10_variant,v10_filter
1,監視,72.0,"MACDクロス(12,21,12)",MACDクロス,20,20,東京(9-15時),全曜日,下降のみ,ATR高,2021-02-22 10:25:00,2021-02-22 11:15:00,BUY,105.51,105.7,20.0,利確,25.4,25.4,0.0,2021,2021-02,0,月,10,exclude_thu_14h,木曜日＋14時エントリーを除外
1,監視,72.0,"MACDクロス(12,21,12)",MACDクロス,20,20,東京(9-15時),全曜日,下降のみ,ATR高,2021-02-23 09:10:00,2021-02-23 17:35:00,BUY,105.017,105.228,20.0,利確,45.4,45.4,0.0,2021,2021-02,1,火,9,exclude_thu_14h,木曜日＋14時エントリーを除外
1,監視,72.0,"MACDクロス(12,21,12)",MACDクロス,20,20,東京(9-15時),全曜日,下降のみ,ATR高,2021-02-26 12:15:00,2021-02-26 13:35:00,BUY,105.951,106.161,20.0,利確,65.4,65.4,0.0,2021,2021-02,4,金,12,exclude_thu_14h,木曜日＋14時エントリーを除外
1,監視,72.0,"MACDクロス(12,21,12)",MACDクロス,20,20,東京(9-15時),全曜日,下降のみ,ATR高,2021-03-19 13:40:00,2021-03-19 17:05:00,BUY,108.912,108.708,-20.0,損切り,65.4,85.4,-20.0,2021,2021-03,4,金,13,exclude_thu_14h,木曜日＋14時エントリーを除外
1,監視,72.0,"MACDクロス(12,21,12)",MACDクロス,20,20,東京(9-15時),全曜日,下降のみ,ATR高,2021-04-07 11:10:00,2021-04-07 16:30:00,BUY,109.698,109.86,20.0,利確,85.4,85.4,0.0,2021,2021-04,2,水,11,exclude_thu_14h,木曜日＋14時エントリーを除外
1,監視,72.0,"MACDクロス(12,21,12)",MACDクロス,20,20,東京(9-15時),全曜日,下降のみ,ATR高,2021-04-09 10:45:00,2021-04-09 16:10:00,BUY,109.287,109.495,20.0,利確,105.4,105.4,0.0,2021,2021-04,4,金,10,exclude_thu_14h,木曜日＋14時エントリーを除外
1,監視,72.0,"MACDクロス(12,21,12)",MACDクロス,20,20,東京(9-15時),全曜日,下降のみ,ATR高,2021-04-12 11:55:00,2021-04-12 18:30:00,BUY,109.532,109.328,-20.0,損切り,85.4,105.4,-20.0,2021,2021-04,0,月,11,exclude_thu_14h,木曜日＋14時エントリーを除外
1,監視,72.0,"MACDクロス(12,21,12)",MACDクロス,20,20,東京(9-15時),全曜日,下降のみ,ATR高,2021-04-14 09:55:00,2021-04-14 16:35:00,SELL,108.829,109.037,-20.0,損切り,65.4,105.4,-40.0,2021,2021-04,2,水,9,exclude_thu_14h,木曜日＋14時エントリーを除外
1,監視,72.0,"MACDクロス(12,21,12)",MACDクロス,20,20,東京(9-15時),全曜日,下降のみ,ATR高,2021-04-19 09:55:00,2021-04-19 16:30:00,SELL,108.65,108.411,20.0,利確,85.4,105.4,-20.0,2021,2021-04,0,月,9,exclude_thu_14h,木曜日＋14時エントリーを除外
1,監視,72.0,"MACDクロス(12,21,12)",MACDクロス,20,20,東京(9-15時),全曜日,下降のみ,ATR高,2021-04-20 09:40:00,2021-04-20 10:50:00,BUY,108.106,108.303,20.0,利確,105.4,105.4,0.0,2021,2021-04,1,火,9,exclude_thu_14h,木曜日＋14時エントリーを除外
1,監視,72.0,"MACDクロス(12,21,12)",MACDクロス,20,20,東京(9-15時),全曜日,下降のみ,ATR高,2021-04-21 10:00:00,2021-04-21 11:05:00,BUY,108.088,107.915,-20.0,損切り,85.4,105.4,-20.0,2021,2021-04,2,水,10,exclude_thu_14h,木曜日＋14時エントリーを除外
1,監視,72.0,"MACDクロス(12,21,12)",MACDクロス,20,20,東京(9-15時),全曜日,下降のみ,ATR高,2021-04-21 11:30:00,2021-04-21 16:40:00,BUY,107.977,108.2,20.0,利確,105.4,105.4,0.0,2021,2021-04,2,水,11,exclude_thu_14h,木曜日＋14時エントリーを除外
1,監視,72.0,"MACDクロス(12,21,12)",MACDクロス,20,20,東京(9-15時),全曜日,下降のみ,ATR高,2021-04-23 10:30:00,2021-04-23 21:00:00,BUY,107.922,107.682,-20.0,損切り,85.4,105.4,-20.0,2021,2021-04,4,金,10,exclude_thu_14h,木曜日＋14時エントリーを除外
1,監視,72.0,"MACDクロス(12,21,12)",MACDクロス,20,20,東京(9-15時),全曜日,下降のみ,ATR高,2021-06-21 12:00:00,2021-06-21 12:30:00,BUY,110.033,109.841,-20.0,損切り,65.4,105.4,-40.0,2021,2021-06,0,月,12,exclude_thu_14h,木曜日＋14時エントリーを除外
1,監視,72.0,"MACDクロス(12,21,12)",MACDクロス,20,20,東京(9-15時),全曜日,下降のみ,ATR高,2021-06-21 13:15:00,2021-06-21 16:45:00,BUY,109.822,110.032,20.0,利確,85.4,105.4,-20.0,2021,2021-06,0,月,13,exclude_thu_14h,木曜日＋14時エントリーを除外
1,監視,72.0,"MACDクロス(12,21,12)",MACDクロス,20,20,東京(9-15時),全曜日,下降のみ,ATR高,2021-07-07 10:30:00,2021-07-07 15:15:00,BUY,110.477,110.687,20.0,利確,105.4,105.4,0.0,2021,2021-07,2,水,10,exclude_thu_14h,木曜日＋14時エントリーを除外
1,監視,72.0,"MACDクロス(12,21,12)",MACDクロス,20,20,東京(9-15時),全曜日,下降のみ,ATR高,2021-07-19 09:25:00,2021-07-19 17:35:00,BUY,109.926,109.713,-20.0,損切り,105.4,125.4,-20.0,2021,2021-07,0,月,9,exclude_thu_14h,木曜日＋14時エントリーを除外
1,監視,72.0,"MACDクロス(12,21,12)",MACDクロス,20,20,東京(9-15時),全曜日,下降のみ,ATR高,2021-07-20 13:50:00,2021-07-20 16:30:00,BUY,109.473,109.662,20.0,利確,125.4,125.4,0.0,2021,2021-07,1,火,13,exclude_thu_14h,木曜日＋14時エントリーを除外
1,監視,72.0,"MACDクロス(12,21,12)",MACDクロス,20,20,東京(9-15時),全曜日,下降のみ,ATR高,2021-08-16 10:20:00,2021-08-16 19:20:00,BUY,109.494,109.287,-20.0,損切り,105.4,125.4,-20.0,2021,2021-08,0,月,10,exclude_thu_14h,木曜日＋14時エントリーを除外
1,監視,72.0,"MACDクロス(12,21,12)",MACDクロス,20,20,東京(9-15時),全曜日,下降のみ,ATR高,2021-08-20 11:30:00,2021-08-20 23:55:00,BUY,109.747,109.802,5.3,日終わり決済,110.7,125.4,-14.7,2021,2021-08,4,金,11,exclude_thu_14h,木曜日＋14時エントリーを除外
1,監視,72.0,"MACDクロス(12,21,12)",MACDクロス,20,20,東京(9-15時),全曜日,下降のみ,ATR高,2021-09-22 09:30:00,2021-09-22 10:10:00,BUY,109.223,109.374,20.0,利確,150.7,150.7,0.0,2021,2021-09,2,水,9,exclude_thu_14h,木曜日＋14時エントリーを除外
1,監視,72.0,"MACDクロス(12,21,12)",MACDクロス,20,20,東京(9-15時),全曜日,下降のみ,ATR高,2021-10-01 11:15:00,2021-10-01 13:05:00,BUY,111.313,111.139,-20.0,損切り,130.7,150.7,-20.0,2021,2021-10,4,金,11,exclude_thu_14h,木曜日＋14時エントリーを除外
1,監視,72.0,"MACDクロス(12,21,12)",MACDクロス,20,20,東京(9-15時),全曜日,下降のみ,ATR高,2021-10-01 13:55:00,2021-10-01 22:45:00,BUY,111.156,110.937,-20.0,損切り,110.7,150.7,-40.0,2021,2021-10,4,金,13,exclude_thu_14h,木曜日＋14時エントリーを除外
1,監視,72.0,"MACDクロス(12,21,12)",MACDクロス,20,20,東京(9-15時),全曜日,下降のみ,ATR高,2021-10-04 09:25:00,2021-10-04 16:25:00,BUY,110.969,111.158,20.0,利確,130.7,150.7,-20.0,2021,2021-10,0,月,9,exclude_thu_14h,木曜日＋14時エントリーを除外
1,監視,72.0,"MACDクロス(12,21,12)",MACDクロス,20,20,東京(9-15時),全曜日,下降のみ,ATR高,2021-10-05 10:05:00,2021-10-05 12:45:00,BUY,110.969,111.18,20.0,利確,150.7,150.7,0.0,2021,2021-10,1,火,10,exclude_thu_14h,木曜日＋14時エントリーを除外
1,監視,72.0,"MACDクロス(12,21,12)",MACDクロス,20,20,東京(9-15時),全曜日,下降のみ,ATR高,2021-10-18 11:05:00,2021-10-18 12:10:00,SELL,114.033,114.256,-20.0,損切り,130.7,150.7,-20.0,2021,2021-10,0,月,11,exclude_thu_14h,木曜日＋14時エントリーを除外
1,監視,72.0,"MACDクロス(12,21,12)",MACDクロス,20,20,東京(9-15時),全曜日,下降のみ,ATR高,2021-10-19 11:00:00,2021-10-19 15:30:00,BUY,114.214,113.969,-20.0,損切り,110.7,150.7,-40.0,2021,2021-10,1,火,11,exclude_thu_14h,木曜日＋14時エントリーを除外
1,監視,72.0,"MACDクロス(12,21,12)",MACDクロス,20,20,東京(9-15時),全曜日,下降のみ,ATR高,2021-11-05 11:15:00,2021-11-05 19:05:00,BUY,113.656,113.855,20.0,利確,90.7,150.7,-60.0,2021,2021-11,4,金,11,exclude_thu_14h,木曜日＋14時エントリーを除外
1,監視,72.0,"MACDクロス(12,21,12)",MACDクロス,20,20,東京(9-15時),全曜日,下降のみ,ATR高,2021-11-09 13:10:00,2021-11-09 21:55:00,BUY,112.867,113.061,20.0,利確,110.7,150.7,-40.0,2021,2021-11,1,火,13,exclude_thu_14h,木曜日＋14時エントリーを除外
1,監視,72.0,"MACDクロス(12,21,12)",MACDクロス,20,20,東京(9-15時),全曜日,下降のみ,ATR高,2021-11-26 10:00:00,2021-11-26 11:40:00,BUY,114.946,114.795,-20.0,損切り,110.7,150.7,-40.0,2021,2021-11,4,金,10,exclude_thu_14h,木曜日＋14時エントリーを除外
1,監視,72.0,"MACDクロス(12,21,12)",MACDクロス,20,20,東京(9-15時),全曜日,下降のみ,ATR高,2021-11-26 12:35:00,2021-11-26 15:20:00,BUY,114.715,114.519,-20.0,損切り,90.7,150.7,-60.0,2021,2021-11,4,金,12,exclude_thu_14h,木曜日＋14時エントリーを除外
1,監視,72.0,"MACDクロス(12,21,12)",MACDクロス,20,20,東京(9-15時),全曜日,下降のみ,ATR高,2021-11-29 12:35:00,2021-11-29 14:25:00,BUY,113.617,113.392,-20.0,損切り,70.7,150.7,-80.0,2021,2021-11,0,月,12,exclude_thu_14h,木曜日＋14時エントリーを除外
1,監視,72.0,"MACDクロス(12,21,12)",MACDクロス,20,20,東京(9-15時),全曜日,下降のみ,ATR高,2021-12-08 10:40:00,2021-12-08 17:35:00,SELL,113.419,113.589,-20.0,損切り,50.7,150.7,-100.0,2021,2021-12,2,水,10,exclude_thu_14h,木曜日＋14時エントリーを除外
1,監視,72.0,"MACDクロス(12,21,12)",MACDクロス,20,20,東京(9-15時),全曜日,下降のみ,ATR高,2021-12-17 13:45:00,2021-12-17 21:20:00,BUY,113.57,113.376,-20.0,損切り,30.7,150.7,-120.0,2021,2021-12,4,金,13,exclude_thu_14h,木曜日＋14時エントリーを除外
1,監視,72.0,"MACDクロス(12,21,12)",MACDクロス,20,20,東京(9-15時),全曜日,下降のみ,ATR高,2022-01-05 12:40:00,2022-01-05 19:10:00,BUY,115.965,115.78,-20.0,損切り,10.7,150.7,-140.0,2022,2022-01,2,水,12,exclude_thu_14h,木曜日＋14時エントリーを除外
