variant,説明,取引回数,総損益pips,PF,勝率%,期待値pips/回,平均利益pips,平均損失pips,最大DDpips,最大連敗,月プラス率%,最悪月pips,負け月数,利益年数,負け年数,改善スコア,判定
exclude_thu_14h,木曜日＋14時エントリーを除外,347,801.9,1.263,55.91,2.311,19.861,-19.942,-220.0,9,58.06,-80.0,18,5,1,87.92,監視候補
exclude_14h,14時エントリーを除外,472,835.5,1.196,54.66,1.77,19.793,-19.959,-251.8,7,52.38,-140.0,18,6,0,87.89,監視候補
exclude_hour_14,14時エントリーを除外,472,835.5,1.196,54.66,1.77,19.793,-19.959,-251.8,7,52.38,-140.0,18,6,0,87.89,監視候補
exclude_thu,木曜日を除外,385,801.9,1.234,55.32,2.083,19.874,-19.949,-240.0,9,56.45,-100.0,19,5,1,84.47,監視候補
exclude_weekday_木,木曜日を除外,385,801.9,1.234,55.32,2.083,19.874,-19.949,-240.0,9,56.45,-100.0,19,5,1,84.47,監視候補
exclude_hour_10,10時エントリーを除外,372,667.5,1.199,54.84,1.794,19.743,-20.0,-251.8,6,57.38,-160.0,17,5,1,81.84,監視候補
exclude_weekday_水,水曜日を除外,451,721.7,1.176,54.32,1.6,19.726,-19.957,-280.0,12,50.0,-100.0,19,5,1,76.27,監視候補
baseline,フィルターなし,520,781.7,1.164,54.04,1.503,19.761,-19.963,-291.8,7,50.79,-140.0,23,5,1,75.16,監視候補
exclude_weekday_月,月曜日を除外,411,592.9,1.157,54.01,1.443,19.698,-20.0,-271.8,7,49.18,-140.0,19,5,1,75.11,監視候補
exclude_weekday_金,金曜日を除外,390,608.6,1.17,54.1,1.561,19.809,-19.951,-411.2,7,49.21,-140.0,19,5,1,69.65,監視候補
exclude_hour_9,9時エントリーを除外,410,701.7,1.189,54.63,1.711,19.7,-19.953,-271.8,6,47.62,-100.0,20,4,2,68.75,監視候補
exclude_hour_11,11時エントリーを除外,416,556.4,1.144,53.61,1.337,19.765,-19.954,-251.8,7,47.62,-100.0,22,6,0,82.69,除外候補
exclude_hour_12,12時エントリーを除外,465,601.7,1.14,53.55,1.294,19.731,-19.959,-300.0,6,52.38,-140.0,19,5,1,73.62,除外候補
exclude_hour_13,13時エントリーを除外,465,545.7,1.125,53.12,1.174,19.826,-19.96,-300.0,7,50.0,-140.0,22,4,2,63.79,除外候補
exclude_weekday_火,火曜日を除外,443,401.7,1.096,52.6,0.907,19.712,-19.958,-300.0,6,47.62,-160.0,25,3,3,43.01,除外候補
