variant,month,取引回数,総損益pips,PF,勝率%,期待値pips/回,平均利益pips,平均損失pips,最大DDpips,最大連敗,月プラス率%,最悪月pips,負け月数,利益年数,負け年数
exclude_thu_14h,2021-02,3,60.0,999.0,100.0,20.0,20.0,0.0,0.0,0,100.0,60.0,0,1,0
exclude_thu_14h,2021-03,1,-20.0,0.0,0.0,-20.0,0.0,-20.0,0.0,1,0.0,-20.0,1,0,1
exclude_thu_14h,2021-04,9,20.0,1.25,55.56,2.222,20.0,-20.0,-40.0,2,100.0,20.0,0,1,0
exclude_thu_14h,2021-06,2,0.0,1.0,50.0,0.0,20.0,-20.0,0.0,1,0.0,0.0,0,0,0
exclude_thu_14h,2021-07,3,20.0,2.0,66.67,6.667,20.0,-20.0,-20.0,1,100.0,20.0,0,1,0
exclude_thu_14h,2021-08,2,-14.7,0.265,50.0,-7.35,5.3,-20.0,0.0,1,0.0,-14.7,1,0,1
exclude_thu_14h,2021-09,1,20.0,999.0,100.0,20.0,20.0,0.0,0.0,0,100.0,20.0,0,1,0
exclude_thu_14h,2021-10,6,-40.0,0.5,33.33,-6.667,20.0,-20.0,-40.0,2,0.0,-40.0,1,0,1
exclude_thu_14h,2021-11,5,-20.0,0.667,40.0,-4.0,20.0,-20.0,-60.0,3,0.0,-20.0,1,0,1
exclude_thu_14h,2021-12,2,-40.0,0.0,0.0,-20.0,0.0,-20.0,-20.0,2,0.0,-40.0,1,0,1
exclude_thu_14h,2022-01,5,-60.0,0.25,20.0,-12.0,20.0,-20.0,-60.0,4,0.0,-60.0,1,0,1
exclude_thu_14h,2022-02,2,-40.0,0.0,0.0,-20.0,0.0,-20.0,-20.0,2,0.0,-40.0,1,0,1
exclude_thu_14h,2022-03,7,60.0,2.5,71.43,8.571,20.0,-20.0,-20.0,1,100.0,60.0,0,1,0
exclude_thu_14h,2022-04,4,40.0,3.0,75.0,10.0,20.0,-20.0,-20.0,1,100.0,40.0,0,1,0
exclude_thu_14h,2022-05,7,100.0,6.0,85.71,14.286,20.0,-20.0,-20.0,1,100.0,100.0,0,1,0
exclude_thu_14h,2022-06,3,20.0,2.0,66.67,6.667,20.0,-20.0,-20.0,1,100.0,20.0,0,1,0
exclude_thu_14h,2022-07,5,20.0,1.5,60.0,4.0,20.0,-20.0,-20.0,1,100.0,20.0,0,1,0
exclude_thu_14h,2022-08,6,80.0,5.0,83.33,13.333,20.0,-20.0,-20.0,1,100.0,80.0,0,1,0
exclude_thu_14h,2022-09,10,0.0,1.0,50.0,0.0,20.0,-20.0,-60.0,3,0.0,0.0,0,0,0
exclude_thu_14h,2022-10,1,-20.0,0.0,0.0,-20.0,0.0,-20.0,0.0,1,0.0,-20.0,1,0,1
exclude_thu_14h,2022-11,7,20.0,1.333,57.14,2.857,20.0,-20.0,-40.0,2,100.0,20.0,0,1,0
exclude_thu_14h,2022-12,7,-20.0,0.75,42.86,-2.857,20.0,-20.0,-60.0,4,0.0,-20.0,1,0,1
exclude_thu_14h,2023-01,11,-20.0,0.833,45.45,-1.818,20.0,-20.0,-60.0,3,0.0,-20.0,1,0,1
exclude_thu_14h,2023-02,2,-40.0,0.0,0.0,-20.0,0.0,-20.0,-20.0,2,0.0,-40.0,1,0,1
exclude_thu_14h,2023-03,9,20.0,1.25,55.56,2.222,20.0,-20.0,-40.0,2,100.0,20.0,0,1,0
exclude_thu_14h,2023-04,2,-40.0,0.0,0.0,-20.0,0.0,-20.0,-20.0,2,0.0,-40.0,1,0,1
exclude_thu_14h,2023-05,2,0.0,1.0,50.0,0.0,20.0,-20.0,-20.0,1,0.0,0.0,0,0,0
exclude_thu_14h,2023-06,1,20.0,999.0,100.0,20.0,20.0,0.0,0.0,0,100.0,20.0,0,1,0
exclude_thu_14h,2023-07,7,60.0,2.5,71.43,8.571,20.0,-20.0,-20.0,1,100.0,60.0,0,1,0
exclude_thu_14h,2023-08,1,20.0,999.0,100.0,20.0,20.0,0.0,0.0,0,100.0,20.0,0,1,0
exclude_thu_14h,2023-09,5,60.0,4.0,80.0,12.0,20.0,-20.0,0.0,1,100.0,60.0,0,1,0
exclude_thu_14h,2023-10,1,20.0,999.0,100.0,20.0,20.0,0.0,0.0,0,100.0,20.0,0,1,0
exclude_thu_14h,2023-11,12,-80.0,0.5,33.33,-6.667,20.0,-20.0,-60.0,3,0.0,-80.0,1,0,1
exclude_thu_14h,2023-12,6,0.0,1.0,50.0,0.0,20.0,-20.0,-40.0,2,0.0,0.0,0,0,0
exclude_thu_14h,2024-01,2,40.0,999.0,100.0,20.0,20.0,0.0,0.0,0,100.0,40.0,0,1,0
exclude_thu_14h,2024-03,10,8.8,1.096,50.0,0.88,20.0,-18.24,-60.0,3,100.0,8.8,0,1,0
exclude_thu_14h,2024-04,3,60.0,999.0,100.0,20.0,20.0,0.0,0.0,0,100.0,60.0,0,1,0
exclude_thu_14h,2024-05,4,80.0,999.0,100.0,20.0,20.0,0.0,0.0,0,100.0,80.0,0,1,0
exclude_thu_14h,2024-06,3,60.0,999.0,100.0,20.0,20.0,0.0,0.0,0,100.0,60.0,0,1,0
exclude_thu_14h,2024-07,16,80.0,1.667,62.5,5.0,20.0,-20.0,-40.0,2,100.0,80.0,0,1,0
exclude_thu_14h,2024-08,9,20.0,1.25,55.56,2.222,20.0,-20.0,-20.0,2,100.0,20.0,0,1,0
exclude_thu_14h,2024-09,16,-80.0,0.6,37.5,-5.0,20.0,-20.0,-100.0,3,0.0,-80.0,1,0,1
exclude_thu_14h,2024-10,1,20.0,999.0,100.0,20.0,20.0,0.0,0.0,0,100.0,20.0,0,1,0
exclude_thu_14h,2024-11,18,40.0,1.25,55.56,2.222,20.0,-20.0,-80.0,3,100.0,40.0,0,1,0
exclude_thu_14h,2025-01,9,60.0,2.0,66.67,6.667,20.0,-20.0,-40.0,2,100.0,60.0,0,1,0
exclude_thu_14h,2025-02,8,40.0,1.667,62.5,5.0,20.0,-20.0,-40.0,2,100.0,40.0,0,1,0
exclude_thu_14h,2025-03,15,20.0,1.143,53.33,1.333,20.0,-20.0,-40.0,2,100.0,20.0,0,1,0
exclude_thu_14h,2025-04,10,40.0,1.5,60.0,4.0,20.0,-20.0,-40.0,2,100.0,40.0,0,1,0
exclude_thu_14h,2025-05,7,60.0,2.5,71.43,8.571,20.0,-20.0,-20.0,1,100.0,60.0,0,1,0
exclude_thu_14h,2025-06,7,20.0,1.333,57.14,2.857,20.0,-20.0,-40.0,2,100.0,20.0,0,1,0
exclude_thu_14h,2025-07,2,-40.0,0.0,0.0,-20.0,0.0,-20.0,-20.0,2,0.0,-40.0,1,0,1
exclude_thu_14h,2025-08,3,60.0,999.0,100.0,20.0,20.0,0.0,0.0,0,100.0,60.0,0,1,0
exclude_thu_14h,2025-09,3,20.0,2.0,66.67,6.667,20.0,-20.0,-20.0,1,100.0,20.0,0,1,0
exclude_thu_14h,2025-10,4,0.0,1.0,50.0,0.0,20.0,-20.0,-20.0,1,0.0,0.0,0,0,0
exclude_thu_14h,2025-11,6,0.0,1.0,50.0,0.0,20.0,-20.0,-40.0,2,0.0,0.0,0,0,0
exclude_thu_14h,2025-12,10,-40.0,0.667,40.0,-4.0,20.0,-20.0,-80.0,3,0.0,-40.0,1,0,1
exclude_thu_14h,2026-01,6,0.0,1.0,50.0,0.0,20.0,-20.0,-40.0,2,0.0,0.0,0,0,0
exclude_thu_14h,2026-02,12,0.0,1.0,50.0,0.0,20.0,-20.0,-40.0,2,0.0,0.0,0,0,0
exclude_thu_14h,2026-03,1,-20.0,0.0,0.0,-20.0,0.0,-20.0,0.0,1,0.0,-20.0,1,0,1
