判定,スコア,ルール,取引数,損益pips,PF,期待値,勝率%,最大DD,最大連敗,月プラス率%,年プラス率%,最悪月pips,元との差損益,元との差PF,元との差DD,除外曜日,除外時間,除外月,勝ち数,負け数
改善候補,65.23,除外曜日=木 / 除外月=11月,334,901.9,1.314,2.7,56.9,-200.0,8,59.6,100.0,-100.0,120.2,0.15,91.8,木,,11,190,144
改善候補,64.17,"除外月=11月,10月",434,1061.7,1.282,2.446,56.5,-220.0,6,56.6,100.0,-140.0,280.0,0.118,71.8,,,"11,10",245,189
改善候補,61.48,"除外月=11月,12月",419,1001.7,1.274,2.391,56.3,-231.8,7,55.6,100.0,-140.0,220.0,0.11,60.0,,,"11,12",236,183
改善候補,61.44,除外曜日=木 / 除外月=12月,358,861.9,1.275,2.408,56.1,-200.0,7,58.6,100.0,-100.0,80.2,0.111,91.8,木,,12,201,157
改善候補,58.99,除外曜日=木 / 除外月=10月,369,841.9,1.259,2.282,55.8,-220.0,9,57.9,100.0,-100.0,60.2,0.095,71.8,木,,10,206,163
監視候補,58.57,除外時間=14時 / 除外月=11月,414,955.5,1.263,2.308,56.0,-231.8,7,53.4,100.0,-120.0,173.8,0.099,60.0,,14,11,232,182
監視候補,57.5,除外時間=14時 / 除外月=12月,434,915.5,1.238,2.109,55.5,-211.8,7,54.2,100.0,-140.0,133.8,0.074,80.0,,14,12,241,193
監視候補,55.96,除外月=11月,459,961.7,1.236,2.095,55.6,-271.8,7,53.4,100.0,-140.0,180.0,0.072,20.0,,,11,255,204
監視候補,55.7,"除外月=10月,12月",455,921.7,1.228,2.026,55.4,-280.0,6,55.6,100.0,-140.0,140.0,0.064,11.8,,,"10,12",252,203
監視候補,55.53,除外時間=14時 / 除外月=10月,451,895.5,1.222,1.986,55.2,-251.8,6,55.2,100.0,-140.0,113.8,0.058,40.0,,14,10,249,202
改善候補,52.62,除外曜日=木 / 除外時間=14時,347,801.9,1.263,2.311,55.9,-220.0,9,58.1,83.3,-80.0,20.2,0.099,71.8,木,14,,194,153
監視候補,52.06,除外月=10月,495,881.7,1.197,1.781,54.7,-280.0,6,53.4,100.0,-140.0,100.0,0.033,11.8,,,10,271,224
監視候補,51.24,除外時間=14時,472,835.5,1.196,1.77,54.7,-251.8,7,52.4,100.0,-140.0,53.8,0.032,40.0,,14,,258,214
監視候補,49.74,除外月=12月,480,821.7,1.189,1.712,54.6,-280.0,7,52.5,100.0,-140.0,40.0,0.025,11.8,,,12,262,218
監視候補,49.34,除外曜日=木,385,801.9,1.234,2.083,55.3,-240.0,9,56.5,83.3,-100.0,20.2,0.07,51.8,木,,,213,172
参考,40.59,フィルターなし,520,781.7,1.164,1.503,54.0,-291.8,7,50.8,83.3,-140.0,0.0,0.0,0.0,,,,281,239
