month_num,取引数,損益pips,PF,期待値,勝率%,最大DD,最大連敗,月プラス率%,年プラス率%,最悪月pips,勝ち数,負け数
1,49.0,168.2,1.421,3.433,59.2,-100.0,4.0,80.0,80.0,-51.8,29.0,20.0
2,38.0,25.4,1.071,0.668,52.6,-140.0,5.0,50.0,50.0,-100.0,20.0,18.0
3,57.0,68.8,1.13,1.207,52.6,-131.2,6.0,50.0,50.0,-71.2,30.0,27.0
4,47.0,260.0,1.765,5.532,63.8,-100.0,4.0,66.7,66.7,-40.0,30.0,17.0
5,36.0,160.0,1.571,4.444,61.1,-80.0,4.0,60.0,60.0,-20.0,22.0,14.0
6,29.0,74.0,1.308,2.552,58.6,-60.0,3.0,33.3,33.3,-20.0,17.0,12.0
7,53.0,260.0,1.65,4.906,62.3,-60.0,3.0,60.0,60.0,-20.0,33.0,20.0
8,35.0,85.3,1.284,2.437,57.1,-80.0,2.0,60.0,60.0,-40.0,20.0,15.0
9,50.0,0.0,1.0,0.0,50.0,-180.0,5.0,80.0,80.0,-140.0,25.0,25.0
10,25.0,-100.0,0.667,-4.0,40.0,-140.0,6.0,20.0,20.0,-60.0,10.0,15.0
11,61.0,-180.0,0.743,-2.951,42.6,-300.0,5.0,20.0,20.0,-140.0,26.0,35.0
12,40.0,-40.0,0.905,-1.0,47.5,-100.0,4.0,25.0,25.0,-40.0,19.0,21.0
